Sehat,Terinfeksi,Sembuh
82,9,9
73,18,9
56,34,10
36,50,14
25,59,16
16,67,17
12,62,26
8,60,32
7,54,39
7,44,49
5,38,57
5,32,63
5,19,76
5,10,85
5,6,89
5,5,90
5,3,92
5,2,93
5,2,93
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
5,0,95
